"","Artists_names","titles","links"
"167","V Janikowski","Untitled (1946)","https://collections.ed.ac.uk/art/record/21735?highlight=*:*"
"168","Douglas Baxter","Landscape (1948)","https://collections.ed.ac.uk/art/record/21422?highlight=*:*"
"169","John Brown","Unknown (1949)","https://collections.ed.ac.uk/art/record/50577?highlight=*:*"
"170",NA,"The Jungle (1990)","https://collections.ed.ac.uk/art/record/99469?highlight=*:*"
"171","W Rennie","Unknown (1978)","https://collections.ed.ac.uk/art/record/50427?highlight=*:*"
"172","Unknown","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21586?highlight=*:*"
"173","Unknown","Set of NDS slides","https://collections.ed.ac.uk/art/record/102675?highlight=*:*"
"174","John Gilbert","Portrait of a Seated Man (May 1960)","https://collections.ed.ac.uk/art/record/20996?highlight=*:*"
"175","Elizabeth Blackadder","Still Life Beside Window (1955)","https://collections.ed.ac.uk/art/record/20738?highlight=*:*"
"176","John P Busby","Florence (Jan 1956)","https://collections.ed.ac.uk/art/record/21382?highlight=*:*"
"177","Jean Richie","Standing Male Nude (1960)","https://collections.ed.ac.uk/art/record/20790?highlight=*:*"
"178","Gillian Curry","Untitled (2002)","https://collections.ed.ac.uk/art/record/99939?highlight=*:*"
"179","Emma Gillies","Goat","https://collections.ed.ac.uk/art/record/53746?highlight=*:*"
"180","Molly Harris","Untitled (1966)","https://collections.ed.ac.uk/art/record/99834?highlight=*:*"
"181","Emma Gillies","Saucer","https://collections.ed.ac.uk/art/record/53660?highlight=*:*"
"182","Nicholas File","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21781?highlight=*:*"
"183","James T. Ferguson","Marshal from the West Frieze of the Parthenon (1836-1837)","https://collections.ed.ac.uk/art/record/20689?highlight=*:*"
"184","Douglas Cook","Unknown (1950)","https://collections.ed.ac.uk/art/record/53497?highlight=*:*"
"185","Peter McGinn","Untitled","https://collections.ed.ac.uk/art/record/22567?highlight=*:*"
"186","James Gordon","Circo Togni, Ravenna (1957)","https://collections.ed.ac.uk/art/record/21115?highlight=*:*"
"187","Roger Elliot","Riders from the North Frieze of the Parthenon (1836-1837)","https://collections.ed.ac.uk/art/record/20710?highlight=*:*"
"188",NA,"Frieze from the Temple of Athena Nike (left slab) (1827)","https://collections.ed.ac.uk/art/record/20625?highlight=*:*"
"189",NA,"Portrait of a Woman (1939-1940)","https://collections.ed.ac.uk/art/record/21097?highlight=*:*"
"190",NA,"Untitled - Abstract Blue and Green Squares (1994)","https://collections.ed.ac.uk/art/record/99461?highlight=*:*"
"191","Emma Gillies","Milk Jug","https://collections.ed.ac.uk/art/record/53677?highlight=*:*"
"192","Eduardo Luigi Paolozzi KBE, RA","Tottenham Court Road Underground (1987)","https://collections.ed.ac.uk/art/record/21702?highlight=*:*"
"193","Jennifer Blake","Legless Graham (Unknown)","https://collections.ed.ac.uk/art/record/21995?highlight=*:*"
"194","Isobel T Johnstone","Untitled - Life Drawing of Reclining Nude Male (1967)","https://collections.ed.ac.uk/art/record/99250?highlight=*:*"
"195","Lawrence F. Baxter","Unknown (1953-1954)","https://collections.ed.ac.uk/art/record/50616?highlight=*:*"
"196","Gwyneth M. Leech","Loading Cargo (1984)","https://collections.ed.ac.uk/art/record/21902?highlight=*:*"
"197","Jacquetta Burn-Callander","Unknown (1950)","https://collections.ed.ac.uk/art/record/50574?highlight=*:*"
"198","Victoria C F Bernie","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21786?highlight=*:*"
"199","Unknown","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21617?highlight=*:*"
"200","Hope","Portrait of a Woman (1962)","https://collections.ed.ac.uk/art/record/21281?highlight=*:*"
"201","Ann F Ward","Aux cinq billiards (1963)","https://collections.ed.ac.uk/art/record/99340?highlight=*:*"
"202","Unknown","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21982?highlight=*:*"
"203","Mark Harris","Abstract (Unknown)","https://collections.ed.ac.uk/art/record/21660?highlight=*:*"
"204","Edith Duke","Unknown (1955)","https://collections.ed.ac.uk/art/record/53526?highlight=*:*"
"205","Rena R. Simpson II","Untitled - Abstract Print of Foliage in Black and White (1982)","https://collections.ed.ac.uk/art/record/99332?highlight=*:*"
"206","Unknown","Brick coloured woven fragment","https://collections.ed.ac.uk/art/record/102701?highlight=*:*"
"207","Adri C Chrichton","Architectural Drawing","https://collections.ed.ac.uk/art/record/21514?highlight=*:*"
"208","Sheena McEwan","Seated Female Nude (03 Oct 1957)","https://collections.ed.ac.uk/art/record/20899?highlight=*:*"
"209","Frances Sander","(1965)","https://collections.ed.ac.uk/art/record/99526?highlight=*:*"
"210","Kathryn M. Buchan","Untitled (Dec 1970)","https://collections.ed.ac.uk/art/record/21869?highlight=*:*"
"211","Myra E. Soni","Seascape (1955)","https://collections.ed.ac.uk/art/record/22736?highlight=*:*"
"212","Unknown","Ayrshire christening robe (1800-1899)","https://collections.ed.ac.uk/art/record/102679?highlight=*:*"
"213","Alexander F Mitchell","Portrait of a Woman (1950)","https://collections.ed.ac.uk/art/record/21055?highlight=*:*"
"214","Unknown","Woven fragments (waistcoat)","https://collections.ed.ac.uk/art/record/102702?highlight=*:*"
"215","Thomas Kim Redpath","Portrait of a Woman (1948)","https://collections.ed.ac.uk/art/record/20800?highlight=*:*"
"216","Hugh Deans","Unknown (1960)","https://collections.ed.ac.uk/art/record/53577?highlight=*:*"
"217","Henry Rodgers","Man in Blue Waistcoat","https://collections.ed.ac.uk/art/record/21461?highlight=*:*"
"218","Laura McPherson","Untitled (1965)","https://collections.ed.ac.uk/art/record/22482?highlight=*:*"
"219","Emma Gillies","Teacup","https://collections.ed.ac.uk/art/record/53644?highlight=*:*"
"220","Mollie E N Langlands","Donkey and Cart in Landscape (Circa 1955)","https://collections.ed.ac.uk/art/record/21017?highlight=*:*"
"221","Underwood","Untitled (1962)","https://collections.ed.ac.uk/art/record/22502?highlight=*:*"
"222","John Stewart","Untitled (1969)","https://collections.ed.ac.uk/art/record/22486?highlight=*:*"
"223","Sylvia M. R. Cameron","Standing Female Nude (1967)","https://collections.ed.ac.uk/art/record/22701?highlight=*:*"
"224","James Robertson","Portrait of a Woman (1956)","https://collections.ed.ac.uk/art/record/21185?highlight=*:*"
"225","Derek McGuire","Unknown","https://collections.ed.ac.uk/art/record/50431?highlight=*:*"
"226","Peter McGinn","Charioteers from North Frieze of the Parthenon (1836-1837)","https://collections.ed.ac.uk/art/record/20678?highlight=*:*"
"227","Unknown","Portrait of a Woman (1957)","https://collections.ed.ac.uk/art/record/21086?highlight=*:*"
"228","Alan J Mcleod","Babies constructed bonnet (1890-1900)","https://collections.ed.ac.uk/art/record/102672?highlight=*:*"
"229","Beatrice Patricia Grimshaw","Unknown","https://collections.ed.ac.uk/art/record/53604?highlight=*:*"
"230",NA,"Sicily Landscape (1958)","https://collections.ed.ac.uk/art/record/53479?highlight=*:*"
"231","Unknown","Unknown","https://collections.ed.ac.uk/art/record/53544?highlight=*:*"
"232","Unknown","Portrait miniatures in a frame","https://collections.ed.ac.uk/art/record/20623?highlight=*:*"
"233","Andrew Arnott","For Sanfrancisco (Unknown)","https://collections.ed.ac.uk/art/record/21606?highlight=*:*"
"234","Lorna McIntosh","Still Life (1995)","https://collections.ed.ac.uk/art/record/22607?highlight=*:*"
"235","Gordon Bryce","Untitled - Drawing of a Girl Sitting in Profile (1964-1965)","https://collections.ed.ac.uk/art/record/99325?highlight=*:*"
"236","Edward A. Gage or Valerie A. Cockburn (Gage)","El Portento (1951)","https://collections.ed.ac.uk/art/record/22676?highlight=*:*"
"237","Unknown","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21838?highlight=*:*"
"238","Emma Gillies","Lid","https://collections.ed.ac.uk/art/record/122077?highlight=*:*"
"239","Unknown","Woman in Fish Net","https://collections.ed.ac.uk/art/record/22537?highlight=*:*"
"240","Leonard I. H. Gray","Unknown (1952)","https://collections.ed.ac.uk/art/record/53488?highlight=*:*"
"241","Gwen Mackenzie","Untitled (1967)","https://collections.ed.ac.uk/art/record/21755?highlight=*:*"
"242","Robert Adam","Little Bird (1985)","https://collections.ed.ac.uk/art/record/21622?highlight=*:*"
"243","R Wright","Portrait of a Man (11 Nov 1957)","https://collections.ed.ac.uk/art/record/20904?highlight=*:*"
"244","Norman Cameron","Untitled (1985-1986)","https://collections.ed.ac.uk/art/record/21634?highlight=*:*"
"245","Hilary A. Fisher","1986 Edinburgh College of Art Degree Show (1986)","https://collections.ed.ac.uk/art/record/21582?highlight=*:*"
"246","Unknown","Unknown","https://collections.ed.ac.uk/art/record/50420?highlight=*:*"
"247","Denness Morton","Male Portrait (1959)","https://collections.ed.ac.uk/art/record/22710?highlight=*:*"
"248","Iain West","Standing Female Nude (1953)","https://collections.ed.ac.uk/art/record/20782?highlight=*:*"
"249","Betty M. Ferguson","Unknown (1938)","https://collections.ed.ac.uk/art/record/53522?highlight=*:*"
"250","A Robson","Portrait of a Man (19 Nov 1958)","https://collections.ed.ac.uk/art/record/20936?highlight=*:*"
"251","Unknown","Unknown","https://collections.ed.ac.uk/art/record/53543?highlight=*:*"
"252","Gregor Smith","Untitled - Man at a Factory (1966-1967)","https://collections.ed.ac.uk/art/record/99397?highlight=*:*"
"253","Unknown","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21850?highlight=*:*"
"254","Emma Gillies","Teacup","https://collections.ed.ac.uk/art/record/53639?highlight=*:*"
"255","James P W Syme","Portrait of a Seated Man (1951)","https://collections.ed.ac.uk/art/record/21370?highlight=*:*"
"256","Kate Stancliffe","Untitled (Unknown)","https://collections.ed.ac.uk/art/record/21601?highlight=*:*"
"257","Boris Bućan","Dušan Jovanović: Vojna Tajna (1983)","https://collections.ed.ac.uk/art/record/22032?highlight=*:*"
